//origem,destino,n.º de kms,portagem, n.º de minutos
Berlin,Madrid,113.9,323.66,2323.0
Berlin,Rome,0.0,210.72,1509.0
Berlin,Paris,16.2,147.61,1057.0
Berlin,Vienna,0.0,95.56,680.0
Berlin,Warsaw,28.7,81.06,579.0
Berlin,Hamburg,0.0,41.11,291.0
Berlin,Bucharest,0.0,238.64,1699.0
Berlin,Barcelona,89.4,261.15,1871.0
Berlin,Budapest,0.0,122.12,873.0
Berlin,Munich,0.0,82.17,586.0
Berlin,Prague,0.0,48.78,346.0
Berlin,Milan,4.2,144.65,1035.0
Berlin,Sofia,21.09,228.22,1634.0
Berlin,Cologne,0.0,80.44,574.0
Berlin,Stockholm,92.21,194.54,1394.0
Berlin,Amsterdam,0.0,92.52,659.0
Berlin,Naples,0.0,238.08,1707.0
Berlin,Marseille,63.5,215.56,1545.0
Berlin,Turin,25.0,160.88,1152.0
Berlin,Valencia,89.4,308.25,2211.0
Berlin,Kraków,7.66,83.39,596.0
Berlin,Zagreb,0.0,138.85,990.0
Berlin,Frankfurt,0.0,76.56,546.0
Berlin,Seville,113.9,387.34,2781.0
Berlin,Zaragoza,89.4,298.8,2143.0
Berlin,Helsinki,65.26,229.46,1550.0
Berlin,Wrocław,0.0,48.71,347.0
Berlin,Rotterdam,0.0,97.27,694.0
Berlin,Copenhagen,26.95,105.47,753.0
Berlin,Łódź,28.7,65.62,465.0
Berlin,Athens,63.71,326.04,2338.0
Berlin,Stuttgart,0.0,89.15,637.0
Berlin,Düsseldorf,0.0,78.33,559.0
Berlin,Palermo,0.0,333.0,2379.0
Madrid,Berlin,113.9,288.24,2318.0
Madrid,Rome,113.3,240.82,1937.0
Madrid,Paris,97.7,158.27,1272.0
Madrid,Vienna,77.7,296.96,2386.0
Madrid,Warsaw,142.6,355.81,2862.0
Madrid,Hamburg,113.9,270.51,2176.0
Madrid,Bucharest,149.23,395.1,3167.0
Madrid,Barcelona,0.0,77.54,622.0
Madrid,Budapest,123.4,311.47,2508.0
Madrid,Munich,77.7,242.76,1952.0
Madrid,Prague,108.4,278.59,2241.0
Madrid,Milan,91.6,194.22,1563.0
Madrid,Sofia,161.53,368.0,2962.0
Madrid,Cologne,113.9,218.16,1754.0
Madrid,Stockholm,206.11,408.89,3292.0
Madrid,Amsterdam,116.6,220.41,1772.0
Madrid,Naples,141.6,266.09,2142.0
Madrid,Marseille,35.3,135.28,1088.0
Madrid,Turin,0.0,180.4,1450.0
Madrid,Valencia,0.0,44.49,356.0
Madrid,Kraków,116.06,344.04,2769.0
Madrid,Zagreb,124.4,270.87,2179.0
Madrid,Frankfurt,148.9,230.53,1855.0
Madrid,Seville,3.2,66.42,533.0
Madrid,Zaragoza,0.0,39.77,318.0
Madrid,Helsinki,0.0,624.98,5031.0
Madrid,Wrocław,108.4,314.1,2529.0
Madrid,Rotterdam,116.6,212.64,1710.0
Madrid,Copenhagen,140.85,329.46,2651.0
Madrid,Łódź,108.4,341.42,2748.0
Madrid,Athens,204.15,455.17,3667.0
Madrid,Stuttgart,108.4,221.78,1783.0
Madrid,Düsseldorf,113.9,219.12,1762.0
Madrid,Palermo,154.5,350.93,2812.0
Rome,Berlin,0.0,220.35,1510.0
Rome,Madrid,117.55,285.77,1960.0
Rome,Paris,0.0,208.22,1425.0
Rome,Vienna,59.8,160.13,1097.0
Rome,Warsaw,59.8,257.59,1766.0
Rome,Hamburg,0.0,242.61,1662.0
Rome,Bucharest,78.13,274.61,1875.0
Rome,Barcelona,113.0,198.14,1357.0
Rome,Budapest,52.3,177.83,1219.0
Rome,Munich,0.0,134.18,918.0
Rome,Prague,0.0,190.11,1302.0
Rome,Milan,44.4,84.18,574.0
Rome,Sofia,90.43,243.75,1671.0
Rome,Cologne,50.2,204.29,1401.0
Rome,Stockholm,0.0,417.1,2863.0
Rome,Amsterdam,50.2,241.1,1654.0
Rome,Naples,17.4,33.79,228.0
Rome,Marseille,77.7,130.49,892.0
Rome,Turin,59.6,101.37,692.0
Rome,Valencia,113.0,247.54,1698.0
Rome,Kraków,67.46,226.42,1552.0
Rome,Zagreb,53.3,130.2,890.0
Rome,Frankfurt,50.2,180.83,1239.0
Rome,Seville,113.0,342.07,2347.0
Rome,Zaragoza,113.0,237.59,1629.0
Rome,Helsinki,59.8,421.85,2865.0
Rome,Wrocław,0.0,239.78,1645.0
Rome,Rotterdam,67.7,235.31,1614.0
Rome,Copenhagen,0.0,323.99,2222.0
Rome,Łódź,59.8,243.99,1672.0
Rome,Athens,133.05,346.16,2376.0
Rome,Stuttgart,0.0,158.15,1080.0
Rome,Düsseldorf,50.2,209.95,1440.0
Rome,Palermo,30.3,133.31,900.0
Paris,Berlin,16.2,148.6,1056.0
Paris,Madrid,97.7,178.88,1276.0
Paris,Rome,0.0,200.45,1426.0
Paris,Vienna,33.8,174.17,1240.0
Paris,Warsaw,44.9,224.48,1600.0
Paris,Hamburg,16.2,128.62,914.0
Paris,Bucharest,33.8,326.62,2316.0
Paris,Barcelona,69.6,145.53,1037.0
Paris,Budapest,33.8,208.77,1490.0
Paris,Munich,44.1,117.08,832.0
Paris,Prague,33.8,145.44,1036.0
Paris,Milan,0.0,120.09,852.0
Paris,Sofia,0.0,304.95,2175.0
Paris,Cologne,16.2,69.68,492.0
Paris,Stockholm,0.0,284.72,2030.0
Paris,Amsterdam,18.9,72.67,510.0
Paris,Naples,0.0,227.95,1624.0
Paris,Marseille,68.9,109.05,775.0
Paris,Turin,0.0,109.14,776.0
Paris,Valencia,69.6,193.05,1377.0
