Seoul,Brussels,75.74,32.83,89.44
Cairo,Pretoria,48.89,6.49,69.56
Dublin,Budapest,34.14,37.09,22.97
Lisbon,Accra,54.91,47.05,64.84
Vilnius,Berlin,3.42,79.13,33.72
Podgorica,Ottawa,71.77,13.58,13.98
Chicago,Toronto,84.91,72.33,66.0
Brasilia,Vienna,66.6,7.5,90.99
Oslo,Sydney,96.56,88.47,92.83
Madrid,Casablanca,74.46,88.79,98.67
Beijing,Jakarta,29.43,23.88,62.88
Pretoria,Taipei,41.77,96.5,5.89
Lisbon,Yerevan,40.83,15.82,74.26
Moscow,Bucharest,71.29,79.4,23.12
Denver,Warsaw,28.82,54.02,24.31
Skopje,Tbilisi,12.82,18.2,71.04
Rome,Vienna,84.53,36.38,43.75
Nairobi,Bogota,76.61,65.78,73.68
Beijing,Bogota,86.12,78.96,28.97
Yerevan,Nairobi,78.47,36.76,45.94
Lima,Sarajevo,84.21,68.53,99.92
Yerevan,Jakarta,97.82,84.64,74.38
Zagreb,Harare,21.61,54.51,34.99
Nairobi,Skopje,87.27,47.7,16.1
Berlin,Lima,78.6,19.99,43.73
Jakarta,Nairobi,94.62,32.04,64.93
Chicago,Athens,25.17,60.71,97.48
Vienna,Rome,37.28,74.08,32.95
Manila,Munich,3.65,53.7,72.1
Lisbon,Beijing,59.72,78.74,88.61
Tallinn,Jakarta,72.8,74.12,30.95
Jakarta,Ljubljana,69.01,38.27,32.79
Manila,Bogota,15.03,47.39,64.07
Hanoi,Manila,33.91,44.58,12.37
Tbilisi,Brussels,17.48,58.05,96.75
Madrid,Pretoria,16.47,65.17,42.47
Brussels,Havana,3.18,9.35,31.6
Toronto,Tokyo,17.38,18.25,18.3
Prague,Jakarta,33.53,44.06,36.59
Belgrade,Vilnius,46.7,51.33,1.75
Harare,Bern,95.9,80.65,76.87
Bern,Vienna,95.04,64.4,87.93
Tbilisi,Sydney,13.86,92.56,15.42
Toronto,Lima,50.82,33.14,10.95
Pretoria,Vilnius,46.69,49.86,53.92
Skopje,Detroit,94.1,6.28,11.4
Jakarta,Berlin,77.17,59.37,78.45
Podgorica,Oslo,23.46,80.26,37.14
Lisbon,Budapest,50.5,83.06,57.47
Havana,Dublin,11.29,4.5,25.91
Manila,Houston,24.53,32.41,25.0
Oslo,Sarajevo,39.0,53.15,46.6
